method,display,seed,N,K,reward,success,C,rho,C_over_N,eta,runtime_s,n_episodes
dsgf,DSGF,42,128,,303.9359498396516,0.02783203125,245.431640625,0.015097910963644193,1.9174346923828125,1.2383731334137211,7914.88240219999,16
dsgf,DSGF,8888,16,,17.89770313980989,0.27734375,27.1591796875,0.11316324869791666,1.69744873046875,0.6589927731892176,277.62649739999324,16
dsgf,DSGF,8888,32,,44.794950587674975,0.16015625,70.90625,0.0714780745967742,2.2158203125,0.6317489725895105,820.5038116000069,16
dsgf,DSGF,8888,64,,124.55052231997252,0.076171875,141.462890625,0.03508504231770833,2.210357666015625,0.8804466087868937,2256.0455767000094,16
dsgf,DSGF,8888,128,,312.85269049182534,0.0390625,310.3876953125,0.019093731256920522,2.4249038696289062,1.0079416652675086,8784.016662800015,16
full_attn,Full-Attention,1234,16,,15.934108035988174,0.2265625,240.0,1.0,15.0,0.0663921168166174,219.3109215000004,16
full_attn,Full-Attention,1234,32,,41.63763436023146,0.1171875,992.0,1.0,31.0,0.041973421734104295,703.9293992000166,16
full_attn,Full-Attention,1234,64,,115.30742213316262,0.0478515625,4032.0,1.0,63.0,0.028598070965566127,2225.677066000004,16
full_attn,Full-Attention,1234,128,,257.336971398443,0.015625,16256.0,1.0,127.0,0.01583027629173493,8694.042156200012,16
full_attn,Full-Attention,2026,16,,16.609112791484222,0.1953125,240.0,1.0,15.0,0.06920463663118426,221.44400369998766,16
full_attn,Full-Attention,2026,32,,39.38393658678979,0.095703125,992.0,1.0,31.0,0.03970154897861874,721.4268550999986,16
full_attn,Full-Attention,2026,64,,118.90514062345028,0.033203125,4032.0,1.0,63.0,0.02949036225780017,2562.6237502000004,16
full_attn,Full-Attention,2026,128,,292.5467749387026,0.01220703125,16256.0,1.0,127.0,0.017996233694556014,9559.13982890002,16
full_attn,Full-Attention,3407,16,,14.088380310218781,0.1171875,240.0,1.0,15.0,0.05870158462591159,219.20009200001368,16
full_attn,Full-Attention,3407,32,,31.061286908807233,0.041015625,992.0,1.0,31.0,0.03131178115807181,717.7532121000113,16
full_attn,Full-Attention,3407,64,,85.88449915498495,0.0126953125,4032.0,1.0,63.0,0.021300719036454602,2554.1371437000053,16
full_attn,Full-Attention,3407,128,,203.08335195109248,0.00537109375,16256.0,1.0,127.0,0.01249282430801504,9031.01905989999,16
full_attn,Full-Attention,42,16,,17.81313425162807,0.32421875,240.0,1.0,15.0,0.07422139271511696,243.95234479999635,16
full_attn,Full-Attention,42,32,,45.99118707969319,0.1484375,992.0,1.0,31.0,0.04636208374969072,791.5759189999953,16
full_attn,Full-Attention,42,64,,126.07298831641674,0.064453125,4032.0,1.0,63.0,0.031268102261016055,2275.7748469999933,16
full_attn,Full-Attention,42,128,,299.2349734157324,0.03125,16256.0,1.0,127.0,0.018407663226853617,7913.713594500005,16
full_attn,Full-Attention,8888,16,,19.658751639071852,0.3515625,240.0,1.0,15.0,0.08191146516279939,166.4872513000155,16
full_attn,Full-Attention,8888,32,,49.200750436633825,0.20703125,992.0,1.0,31.0,0.04959753068209055,593.6203696999874,16
full_attn,Full-Attention,8888,64,,131.1668175533414,0.06640625,4032.0,1.0,63.0,0.0325314527662057,3247.5661564000184,16
full_attn,Full-Attention,8888,128,,237.3795190155506,0.013671875,16256.0,1.0,127.0,0.01460257867959834,13616.87054589999,16
