source,N,budget_type,K,ratio,seed,avg_degree,avg_k_cap,degree_std,degree_error_vs_K,degree_error_vs_cap,degree_p50,degree_p95
encoder,16,ratio,,0.05,42,0.723125,1.0,0.11524600047290143,,0.276875,1.0,1.0
encoder,16,ratio,,0.1,42,0.73890625,1.0,0.12209105448777768,,0.26109375,1.0,1.0
encoder,16,ratio,,0.2,42,0.7215625,1.00109375,0.10388874382602765,,0.2795312499999999,1.0,1.0
encoder,16,ratio,,0.4,42,0.94390625,1.17,0.17613464476342383,,0.22609374999999998,1.0,2.0
encoder,32,fixed_k,1,,42,0.738359375,0.738359375,0.08320217135603719,0.26164062499999996,0.0,1.0,1.0
encoder,32,fixed_k,2,,42,1.146484375,1.146484375,0.16988864617628036,0.853515625,0.0,1.0,2.0
encoder,32,fixed_k,4,,42,1.351953125,1.351953125,0.2721776220760707,2.648046875,0.0,1.0,4.0
encoder,32,fixed_k,6,,42,1.363671875,1.363671875,0.2773357723324461,4.636328125,0.0,1.0,3.0
encoder,32,fixed_k,8,,42,1.365625,1.365625,0.28931154811897847,6.634375,0.0,1.0,3.0498046875
encoder,32,ratio,,0.05,42,0.74390625,1.0,0.08803949198193672,,0.25609375,1.0,1.0
encoder,32,ratio,,0.1,42,0.742265625,1.0,0.08764632714557624,,0.25773437499999996,1.0,1.0
encoder,32,ratio,,0.2,42,0.749375,1.001875,0.08229258965727108,,0.25250000000000006,1.0,1.0
encoder,32,ratio,,0.4,42,0.903359375,1.16484375,0.1507596122751693,,0.261484375,1.0,2.0
encoder,64,fixed_k,1,,42,0.719609375,0.719609375,0.059553545283714,0.280390625,0.0,1.0,1.0
encoder,64,fixed_k,2,,42,1.078828125,1.078828125,0.11884040041788976,0.921171875,0.0,1.0,2.0
encoder,64,fixed_k,4,,42,1.281953125,1.281953125,0.1964299129291651,2.7180468749999998,0.0,1.0,3.0
encoder,64,fixed_k,6,,42,1.27,1.27,0.20150289816464179,4.73,0.0,1.0,3.0
encoder,64,fixed_k,8,,42,1.28125,1.28125,0.21104742506128807,6.71875,0.0,1.0,3.0
encoder,64,ratio,,0.05,42,0.7173828125,1.0,0.059620880176556805,,0.2826171875,1.0,1.0
encoder,64,ratio,,0.1,42,0.7189453125,1.0,0.05974870828804455,,0.28105468749999996,1.0,1.0
encoder,64,ratio,,0.2,42,0.7258984375,1.001875,0.057660682735258116,,0.2759765625,1.0,1.0
encoder,64,ratio,,0.4,42,0.859453125,1.1392578125,0.10153241741980427,,0.27980468749999987,1.0,2.0
encoder,8,fixed_k,1,,8888,0.7121875,0.7121875,0.19449428614679148,0.2878125,0.0,1.0,1.0
encoder,8,fixed_k,2,,8888,1.03125,1.03125,0.2879751508377068,0.96875,0.0,1.0,2.0
encoder,8,fixed_k,4,,8888,1.5890625,1.5890625,0.5452901141536953,2.4109375,0.0,2.0,3.0
encoder,8,fixed_k,6,,8888,1.459375,1.459375,0.6187736737895367,4.540625,0.0,1.0,3.0
encoder,8,fixed_k,8,,8888,1.006875,1.006875,0.48164715754896764,6.993125,0.0,1.0,3.0
encoder,8,ratio,,0.05,8888,0.8025,1.0,0.22180368572230716,,0.1975,1.0,1.0
encoder,8,ratio,,0.1,8888,0.7415625,1.0,0.19756105662237686,,0.2584375,1.0,1.0
encoder,8,ratio,,0.2,8888,0.699375,1.0,0.19787839542254226,,0.30062500000000003,1.0,1.0
encoder,8,ratio,,0.4,8888,0.8075,1.101875,0.25290190786152644,,0.29437499999999994,1.0,2.0
encoder,16,fixed_k,1,,8888,0.78015625,0.78015625,0.12021617491393369,0.21984375,0.0,1.0,1.0
encoder,16,fixed_k,2,,8888,1.0565625,1.0565625,0.2090807166951319,0.9434374999999999,0.0,1.0,2.0
encoder,16,fixed_k,4,,8888,1.01265625,1.01265625,0.3544168502074041,2.98734375,0.0,1.0,3.0
encoder,16,fixed_k,6,,8888,1.3346875,1.3346875,0.42340682545720737,4.6653125,0.0,1.0,3.0
encoder,16,fixed_k,8,,8888,1.4465625,1.4465625,0.3878978552322119,6.5534375,0.0,1.0,3.0
encoder,16,ratio,,0.05,8888,0.7509375,1.0,0.14079538289216023,,0.24906249999999996,1.0,1.0
encoder,16,ratio,,0.1,8888,0.74515625,1.0,0.15626867075948878,,0.25484375000000004,1.0,1.0
encoder,16,ratio,,0.2,8888,0.7590625,1.00390625,0.10668980665344747,,0.24484375000000003,1.0,1.0
encoder,16,ratio,,0.4,8888,0.87453125,1.1259375,0.19442868782265002,,0.25140625000000005,1.0,2.0
encoder,32,fixed_k,1,,8888,0.743359375,0.743359375,0.08266403998026817,0.25664062499999996,0.0,1.0,1.0
encoder,32,fixed_k,2,,8888,1.134296875,1.134296875,0.1733149729076642,0.865703125,0.0,1.0,2.0
encoder,32,fixed_k,4,,8888,1.335234375,1.335234375,0.2831847407826018,2.6647656250000002,0.0,1.0,3.0498046875
encoder,32,fixed_k,6,,8888,1.350703125,1.350703125,0.29332248436487846,4.649296875,0.0,1.0,3.0
encoder,32,fixed_k,8,,8888,1.3484375,1.3484375,0.2827002539683154,6.6515625,0.0,1.0,3.0
encoder,32,ratio,,0.05,8888,0.73921875,1.0,0.08688947159142758,,0.26078124999999996,1.0,1.0
encoder,32,ratio,,0.1,8888,0.7459375,1.0,0.0769480090304486,,0.25406249999999997,1.0,1.0
encoder,32,ratio,,0.2,8888,0.74671875,1.0025,0.08594588027321322,,0.25578124999999996,1.0,1.0
encoder,32,ratio,,0.4,8888,0.904296875,1.1575,0.1427909370687943,,0.253203125,1.0,2.0
encoder,64,fixed_k,1,,8888,0.713828125,0.713828125,0.06078863025566027,0.28617187499999996,0.0,1.0,1.0
encoder,64,fixed_k,2,,8888,1.092734375,1.092734375,0.12090537263024904,0.907265625,0.0,1.0,2.0
encoder,64,fixed_k,4,,8888,1.2572265625,1.2572265625,0.1867456137513572,2.7427734375,0.0,1.0,3.0
encoder,64,fixed_k,6,,8888,1.2894140625,1.2894140625,0.20414078570482574,4.7105859375,0.0,1.0,3.0
encoder,64,fixed_k,8,,8888,1.27953125,1.27953125,0.20530554354653335,6.72046875,0.0,1.0,3.0
encoder,64,ratio,,0.05,8888,0.7165625,1.0,0.06542081329745145,,0.2834375,1.0,1.0
encoder,64,ratio,,0.1,8888,0.722890625,1.0,0.05795964172041934,,0.277109375,1.0,1.0
encoder,64,ratio,,0.2,8888,0.720546875,1.002109375,0.06507728090689081,,0.28156250000000005,1.0,1.0
encoder,64,ratio,,0.4,8888,0.86328125,1.14125,0.10155348517683921,,0.2779687500000001,1.0,2.0
